Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,83.099998,83.750000,82.599998,83.449997,70.858376,1406680
2017-07-11,84.000000,84.199997,82.750000,83.000000,70.476273,4536568
2017-07-12,83.699997,84.000000,82.750000,83.050003,70.518738,3279731
2017-07-13,83.599998,83.900002,82.900002,83.250000,70.688553,1882220
2017-07-14,83.349998,83.599998,82.750000,82.949997,70.433823,4106073
2017-07-17,83.000000,84.099998,83.000000,83.400002,70.815910,5230073
2017-07-18,83.300003,83.900002,81.900002,82.449997,70.009262,3271847
2017-07-19,82.400002,83.250000,81.900002,82.949997,70.433823,3930557
2017-07-20,82.949997,83.500000,82.300003,82.900002,70.391365,1375720
2017-07-21,83.199997,83.599998,82.500000,83.349998,70.773476,2135714
2017-07-24,83.349998,83.500000,82.900002,83.250000,70.688553,2111317
2017-07-25,83.250000,83.400002,82.650002,83.000000,70.476273,7554662
2017-07-26,83.000000,83.449997,81.900002,82.550003,70.094170,9530863
2017-07-27,83.000000,83.150002,81.849998,82.000000,69.627151,2646710
2017-07-28,82.099998,82.900002,81.099998,82.150002,69.754532,1689815
2017-07-31,81.900002,82.699997,81.099998,82.000000,69.627151,2681618
2017-08-01,81.199997,83.250000,81.199997,82.800003,70.306458,2365558
2017-08-02,82.800003,82.949997,82.099998,82.599998,70.136635,867025
2017-08-03,82.500000,83.400002,82.199997,82.650002,70.179077,2966583
2017-08-04,82.550003,82.750000,79.699997,80.250000,68.141212,5298112
2017-08-07,80.699997,80.900002,79.849998,80.000000,67.928940,3124773
2017-08-08,80.199997,80.400002,78.050003,78.250000,66.442993,1840878
2017-08-09,78.300003,78.300003,77.150002,77.800003,66.060898,2107243
2017-08-10,77.000000,77.800003,75.800003,76.699997,66.233597,10816439
2017-08-11,76.449997,77.099998,75.849998,76.550003,66.104065,4403984
2017-08-14,77.000000,81.150002,76.599998,79.550003,68.694687,8120241
2017-08-16,81.250000,83.449997,81.099998,82.050003,70.853554,11428360
2017-08-17,82.599998,82.599998,81.349998,81.650002,70.508125,3774599
2017-08-18,80.400002,81.400002,80.050003,80.300003,69.342346,2900287
2017-08-21,80.650002,80.849998,80.000000,80.199997,69.255997,2749000
2017-08-22,81.000000,81.500000,79.650002,80.050003,69.126465,2316424
2017-08-23,80.349998,80.349998,78.599998,78.750000,68.003853,2065914
2017-08-24,79.699997,80.800003,78.800003,79.150002,68.349281,7107291
2017-08-28,79.300003,79.699997,78.449997,78.849998,68.090210,2117665
2017-08-29,78.349998,78.400002,76.750000,76.949997,66.449478,4659510
2017-08-30,77.500000,78.000000,77.050003,77.650002,67.053970,2203355
2017-08-31,77.699997,79.750000,77.550003,79.250000,68.435616,5439368
2017-09-01,79.250000,80.750000,78.849998,80.099998,69.169640,7004328
2017-09-04,79.849998,80.150002,78.000000,78.449997,67.744797,1847590
2017-09-05,79.000000,79.000000,78.000000,78.349998,67.658432,1500822
2017-09-06,78.300003,78.650002,77.849998,78.000000,67.356209,4084036
2017-09-07,78.150002,78.400002,77.150002,77.349998,66.794899,2557393
2017-09-08,77.550003,78.300003,76.750000,77.000000,66.492661,1894241
2017-09-11,78.000000,81.000000,77.900002,80.599998,69.601410,7804066
2017-09-12,81.199997,81.800003,80.699997,81.000000,69.946815,5963630
2017-09-13,85.000000,86.699997,83.500000,84.800003,73.228287,31484628
2017-09-14,85.050003,87.300003,84.750000,85.250000,73.616875,15122422
2017-09-15,84.949997,84.949997,83.800003,84.300003,72.796509,6486746
2017-09-18,85.000000,85.250000,83.349998,83.699997,72.278381,3959456
2017-09-19,83.800003,85.650002,82.500000,84.599998,73.055580,6973722
2017-09-20,86.000000,86.199997,83.750000,84.000000,72.537453,6704318
2017-09-21,83.900002,84.400002,82.849998,83.099998,71.760262,3563888
2017-09-22,82.900002,82.900002,80.099998,80.400002,69.428696,3947805
2017-09-25,81.699997,82.500000,80.349998,81.849998,70.680840,9668182
2017-09-26,82.900002,82.900002,79.650002,79.949997,69.040100,7178936
2017-09-27,80.349998,80.500000,77.800003,78.150002,67.485741,5905731
2017-09-28,78.500000,78.750000,76.849998,77.250000,66.708549,42574215
2017-09-29,77.949997,78.650002,77.150002,77.800003,67.183495,7966435
2017-10-03,79.199997,79.550003,77.099998,77.400002,66.838081,8461033
2017-10-04,77.449997,78.400002,77.349998,78.000000,67.356209,4682880
2017-10-05,78.400002,79.199997,78.300003,78.949997,68.176559,3315187
2017-10-06,79.449997,80.900002,79.400002,80.650002,69.644600,7199557
2017-10-09,80.349998,82.050003,80.250000,81.449997,70.335419,6239160
2017-10-10,81.750000,82.099998,81.250000,81.550003,70.421776,3898379
2017-10-11,81.750000,82.550003,80.449997,81.000000,69.946815,5318204
2017-10-12,81.000000,82.099998,80.449997,81.699997,70.551308,4280242
2017-10-13,82.599998,82.599998,81.400002,81.650002,70.508125,2469408
2017-10-16,82.000000,82.250000,81.349998,81.949997,70.767189,2578188
2017-10-17,81.949997,82.099998,81.500000,81.599998,70.464951,3977209
2017-10-18,81.800003,82.099998,81.050003,81.900002,70.724022,3092776
2017-10-19,82.550003,82.550003,81.050003,81.500000,70.378593,536886
2017-10-23,82.000000,82.050003,81.199997,81.750000,70.594482,1906801
2017-10-24,82.000000,82.500000,81.550003,82.150002,70.939896,1983329
2017-10-25,82.500000,83.800003,81.849998,82.250000,71.026253,6803458
2017-10-26,82.699997,83.300003,82.000000,82.150002,70.939896,7214920
2017-10-27,82.500000,85.699997,82.349998,85.099998,73.487358,7554777
2017-10-30,86.000000,87.449997,85.349998,85.949997,74.221352,5887950
2017-10-31,86.349998,86.349998,84.599998,84.900002,73.314636,3517881
2017-11-01,85.699997,86.199997,84.400002,85.199997,73.573708,3999344
2017-11-02,85.199997,85.699997,84.050003,84.800003,73.228287,3855149
2017-11-03,85.949997,88.500000,83.699997,84.500000,72.969215,23606567
2017-11-06,84.449997,86.449997,83.750000,85.449997,73.789589,9048909
2017-11-07,86.000000,86.400002,82.449997,83.050003,71.717102,8529822
2017-11-08,83.449997,84.550003,83.000000,83.300003,71.932968,5729398
2017-11-09,83.550003,84.400002,82.699997,83.750000,72.321571,3733865
2017-11-10,83.449997,84.250000,82.349998,82.949997,71.630730,3201517
2017-11-13,83.150002,83.349998,81.750000,82.199997,70.983078,3917398
2017-11-14,82.000000,83.199997,81.650002,81.800003,70.637665,5252226
2017-11-15,81.699997,82.699997,81.650002,82.050003,70.853554,4310040
2017-11-16,82.400002,85.250000,82.400002,84.800003,73.228287,9687109
2017-11-17,85.500000,90.400002,85.400002,88.949997,76.811974,17486215
2017-11-20,89.000000,92.400002,89.000000,91.699997,79.186714,22268784
2017-11-21,92.150002,94.599998,91.699997,92.900002,80.222969,17274882
2017-11-22,92.750000,93.400002,90.449997,93.050003,80.352501,10917988
2017-11-23,93.400002,94.949997,92.199997,93.150002,80.438850,11289675
2017-11-24,93.099998,94.349998,92.599998,93.650002,80.870628,6622336
2017-11-27,93.400002,95.800003,92.500000,95.250000,82.252281,11711838
2017-11-28,95.750000,96.900002,94.599998,95.849998,82.770409,13765563
2017-11-29,95.699997,97.099998,94.500000,95.050003,82.079582,12104211
2017-11-30,94.750000,95.750000,93.699997,94.699997,81.777344,17098296
2017-12-01,94.849998,95.599998,89.699997,90.250000,77.934586,7310376
2017-12-04,91.000000,91.849998,89.250000,89.849998,77.589165,4903439
2017-12-05,89.750000,89.900002,88.099998,88.900002,76.768806,4046457
2017-12-06,89.000000,90.250000,87.000000,87.400002,75.473488,4891755
2017-12-07,87.900002,91.199997,87.699997,90.849998,78.452705,10031260
2017-12-08,91.500000,93.849998,91.199997,91.599998,79.100349,8248218
2017-12-11,92.199997,94.050003,90.349998,93.550003,80.784279,8217955
2017-12-12,92.849998,93.000000,90.150002,90.550003,78.193642,5463807
2017-12-13,90.550003,91.650002,89.900002,90.250000,77.934586,7782576
2017-12-14,90.500000,91.000000,89.349998,90.500000,78.150467,9796726
2017-12-15,91.550003,92.099998,90.699997,91.199997,78.754951,4984491
2017-12-18,90.000000,93.050003,88.300003,91.099998,78.668587,8374309
2017-12-19,91.800003,92.000000,90.599998,91.099998,78.668587,3616578
2017-12-20,91.000000,91.900002,90.550003,90.849998,78.452705,4907711
2017-12-21,90.849998,91.699997,90.599998,91.000000,78.582237,4925527
2017-12-22,91.300003,93.849998,90.949997,92.750000,80.093422,12421581
2017-12-26,95.900002,95.900002,92.599998,93.150002,80.438850,8476138
2017-12-27,93.500000,94.199997,91.550003,92.300003,79.704842,5456865
2017-12-28,92.650002,93.500000,91.599998,92.050003,79.488960,6436421
